"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"02/02/2026","Qualified Dividend","FCX","FREEPORT-MCMORAN INC","","","","$4.50"
"01/09/2026","Buy","MP","MP MATLS CORP CLASS CLASS A","5","$62.60","","-$313.00"
"01/08/2026","Journal","","IRA LAST YEAR CONTRIB","","","","$250.00"
"12/30/2025","Buy","FCX","FREEPORT-MCMORAN INC","5","$51.865","","-$259.33"
"12/30/2025","Journal","","IRA REGULAR CONTRIB","","","","$250.00"
"12/30/2025","Buy","FCX","FREEPORT-MCMORAN INC","5","$51.895","","-$259.48"
"12/30/2025","Sell","LAC","LITHIUM AMERS CORP F","100","$4.473","$0.01","$447.29"
"12/26/2025","Buy","UUUU","ENERGY FUELS INC F","5","$14.91","","-$74.55"
"12/26/2025","Buy","FCX","FREEPORT-MCMORAN INC","5","$53.416","","-$267.08"
"12/26/2025","Sell","SMR","NUSCALE PWR CORP CLASS A","20","$15.005","","$300.10"
"12/02/2025","Buy","SMR","NUSCALE PWR CORP CLASS A","5","$18.9098","","-$94.55"
"12/02/2025","Sell","OPENL","OPENDOOR TECHNOLO 26 WTSWARRANTS EXP 11/20/26","33","$0.9731","","$32.11"
"12/02/2025","Sell","OPENW","OPENDOOR TECHNOLO 26 WTSWARRANTS EXP 11/20/26","33","$1.59","","$52.47"
"12/02/2025","Sell","OPENZ","OPENDOOR TECHNOLO 26 WTSWARRANTS EXP 11/20/26","33","$0.7901","","$26.07"
"11/24/2025 as of 11/21/2025","Cash In Lieu","OPENZ","OPENDOOR TECHNOLO 26 WTSWARRANTS EXP 11/20/26","","","","$0.50"
"11/24/2025 as of 11/21/2025","Cash In Lieu","OPENL","OPENDOOR TECHNOLO 26 WTSWARRANTS EXP 11/20/26","","","","$0.42"
"11/24/2025 as of 11/21/2025","Cash In Lieu","OPENW","OPENDOOR TECHNOLO 26 WTSWARRANTS EXP 11/20/26","","","","$0.70"
"11/21/2025","Spin-off","OPENZ","OPENDOOR TECHNOLO 26 WTSWARRANTS EXP 11/20/26","33","","",""
"11/21/2025","Spin-off","OPENL","OPENDOOR TECHNOLO 26 WTSWARRANTS EXP 11/20/26","33","","",""
"11/21/2025","Spin-off","OPENW","OPENDOOR TECHNOLO 26 WTSWARRANTS EXP 11/20/26","33","","",""
"11/17/2025 as of 11/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.02"
"10/28/2025","Buy","LAC","LITHIUM AMERS CORP F","15","$5.8299","","-$87.45"
"10/27/2025","Buy","UUUU","ENERGY FUELS INC F","5","$19.261","","-$96.31"
"10/27/2025","Buy","LAC","LITHIUM AMERS CORP F","3","$6.0699","","-$18.21"
"10/27/2025","Buy","LAC","LITHIUM AMERS CORP F","2","$6.50","","-$13.00"
"10/24/2025","Buy","UUUU","ENERGY FUELS INC F","5","$21.13","","-$105.65"
"10/24/2025","Buy","MP","MP MATLS CORP CLASS A","2","$71.22","","-$142.44"
"10/24/2025","Buy","OKLO","OKLO INC CLASS A","1","$135.31","","-$135.31"
"10/24/2025","Buy","FCX","FREEPORT-MCMORAN INC","3","$41.08","","-$123.24"
"10/23/2025","Buy","SMR","NUSCALE PWR CORP CLASS A","3","$37.215","","-$111.65"
"10/23/2025","Buy","LAC","LITHIUM AMERS CORP F","5","$6.535","","-$32.68"
"10/23/2025","Buy","UUUU","ENERGY FUELS INC F","3","$20.9558","","-$62.87"
"10/23/2025","Buy","FCX","FREEPORT-MCMORAN INC","1","$41.9658","","-$41.97"
"10/23/2025","Buy","UUUU","ENERGY FUELS INC F","1","$22.435","","-$22.44"
"10/23/2025","Buy","MP","MP MATLS CORP CLASS A","1","$69.4774","","-$69.48"
"10/23/2025","Buy","SMR","NUSCALE PWR CORP CLASS A","1","$35.9116","","-$35.91"
"10/23/2025","Buy","SMR","NUSCALE PWR CORP CLASS A","1","$35.445","","-$35.45"
"10/23/2025","Buy","FCX","FREEPORT-MCMORAN INC","1","$41.75","","-$41.75"
"10/23/2025","Buy","UUUU","ENERGY FUELS INC F","1","$22.63","","-$22.63"
"10/23/2025","Buy","MP","MP MATLS CORP CLASS A","1","$69.09","","-$69.09"
"10/22/2025","Buy","UUUU","ENERGY FUELS INC F","5","$21.13","","-$105.65"
"10/22/2025","Buy","FCX","FREEPORT-MCMORAN INC","1","$40.6558","","-$40.66"
"10/22/2025","Buy","OKLO","OKLO INC CLASS A","1","$123.1823","","-$123.18"
"10/22/2025","Buy","FCX","FREEPORT-MCMORAN INC","1","$40.9858","","-$40.99"
"10/22/2025","Buy","SMR","NUSCALE PWR CORP CLASS A","1","$36.695","","-$36.70"
"10/21/2025","Buy","FCX","FREEPORT-MCMORAN INC","1","$41.2499","","-$41.25"
"10/21/2025","Buy","UUUU","ENERGY FUELS INC F","1","$21.135","","-$21.14"
"10/21/2025","Buy","UUUU","ENERGY FUELS INC F","1","$20.7682","","-$20.77"
"10/21/2025","Buy","FCX","FREEPORT-MCMORAN INC","1","$40.9482","","-$40.95"
"10/21/2025","Buy","LAC","LITHIUM AMERS CORP F","5","$6.7462","","-$33.73"
"10/21/2025","Buy","SMR","NUSCALE PWR CORP CLASS A","1","$40.19","","-$40.19"
"10/21/2025","Buy","UUUU","ENERGY FUELS INC F","1","$20.9496","","-$20.95"
"10/20/2025","Buy","SMR","NUSCALE PWR CORP CLASS A","1","$44.23","","-$44.23"
"10/20/2025","Buy","UUUU","ENERGY FUELS INC F","2","$21.5699","","-$43.14"
"10/20/2025","Buy","FCX","FREEPORT-MCMORAN INC","1","$41.899","","-$41.90"
"10/17/2025","Buy","FCX","FREEPORT-MCMORAN INC","2","$41.30","","-$82.60"
"10/17/2025","Buy","UUUU","ENERGY FUELS INC F","2","$20.835","","-$41.67"
"10/17/2025","Buy","UUUU","ENERGY FUELS INC F","1","$20.83","","-$20.83"
"10/17/2025","Buy","SMR","NUSCALE PWR CORP CLASS A","1","$44.50","","-$44.50"
"10/17/2025","Buy","UUUU","ENERGY FUELS INC F","1","$20.53","","-$20.53"
"10/17/2025","Buy","LAC","LITHIUM AMERS CORP F","5","$6.735","","-$33.68"
"10/17/2025","Buy","LAC","LITHIUM AMERS CORP F","3","$6.7758","","-$20.33"
"10/17/2025","Buy","FCX","FREEPORT-MCMORAN INC","1","$40.9399","","-$40.94"
"10/17/2025","Buy","MP","MP MATLS CORP CLASS A","1","$79.215","","-$79.22"
"10/17/2025","Buy","LAC","LITHIUM AMERS CORP F","2","$6.705","","-$13.41"
"10/17/2025","Buy","UUUU","ENERGY FUELS INC F","1","$19.95","","-$19.95"
"10/17/2025","Sell","OPEN","OPENDOOR TECHNOLOGIES IN","300","$6.8842","$0.05","$2065.21"
"10/17/2025","Buy","SMR","NUSCALE PWR CORP CLASS A","1","$48.2322","","-$48.23"
"10/16/2025","Buy","FCX","FREEPORT-MCMORAN INC","1","$41.865","","-$41.87"
"10/16/2025","Buy","UUUU","ENERGY FUELS INC F","3","$25.87","","-$77.61"
"10/16/2025","Buy","SMR","NUSCALE PWR CORP CLASS A","3","$54.85","","-$164.55"
"10/16/2025","Buy","LAC","LITHIUM AMERS CORP F","10","$7.9862","","-$79.86"
"10/16/2025","Buy","UUUU","ENERGY FUELS INC F","1","$25.0199","","-$25.02"
"10/16/2025","Sell","IONQ","IONQ INC","3","$72.1471","","$216.44"
"10/16/2025","Sell","KTOS","KRATOS DEFENSE & SEC SOL","3","$90.9048","","$272.71"
"10/16/2025","Buy","FCX","FREEPORT-MCMORAN INC","1","$42.00","","-$42.00"
"10/16/2025","Buy","SMR","NUSCALE PWR CORP CLASS A","2","$57.03","","-$114.06"
"10/16/2025","Sell","IONQ","IONQ INC","2","$73.53","","$147.06"
"10/16/2025","Sell","KTOS","KRATOS DEFENSE & SEC SOL","2","$91.61","","$183.22"
"10/16/2025","Buy","UUUU","ENERGY FUELS INC F","1","$24.92","","-$24.92"
"10/16/2025 as of 10/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.01"
"10/14/2025","Buy","OKLO","OKLO INC CLASS A","1","$181.275","","-$181.28"
"10/14/2025","Buy","IONQ","IONQ INC","2","$80.03","","-$160.06"
"10/14/2025","Buy","KTOS","KRATOS DEFENSE & SEC SOL","2","$96.275","","-$192.55"
"10/14/2025","Buy","IONQ","IONQ INC","1","$79.91","","-$79.91"
"10/14/2025","Buy","OKLO","OKLO INC CLASS A","1","$181.13","","-$181.13"
"10/14/2025","Buy","KTOS","KRATOS DEFENSE & SEC SOL","1","$96.35","","-$96.35"
"10/14/2025","Buy","LAC","LITHIUM AMERS CORP F","25","$9.37","","-$234.25"
"10/14/2025","Sell","IBIT","ISHARES BITCOIN ETF","20","$64.085","","$1281.70"
"10/14/2025","Buy","KTOS","KRATOS DEFENSE & SEC SOL","1","$96.345","","-$96.35"
"10/14/2025","Sell","RKLB","ROCKET LAB CORP","1","$68.495","","$68.50"
"10/14/2025","Buy","IONQ","IONQ INC","1","$77.3032","","-$77.30"
"10/14/2025","Buy","LAC","LITHIUM AMERS CORP F","15","$8.9999","","-$135.00"
"10/14/2025","Buy","MP","MP MATLS CORP CLASS A","4","$95.2199","","-$380.88"
"10/14/2025","Buy","OKLO","OKLO INC CLASS A","1","$172.51","","-$172.51"
"10/14/2025","Buy","RKLB","ROCKET LAB CORP","1","$68.29","","-$68.29"
"10/14/2025","Buy","IONQ","IONQ INC","1","$78.64","","-$78.64"
"10/14/2025","Buy","KTOS","KRATOS DEFENSE & SEC SOL","1","$95.685","","-$95.69"
"10/14/2025","Buy","LAC","LITHIUM AMERS CORP F","10","$8.305","","-$83.05"
"10/14/2025","Buy","MP","MP MATLS CORP CLASS A","1","$93.04","","-$93.04"
"10/14/2025","Buy","IBIT","ISHARES BITCOIN ETF","5","$63.625","","-$318.13"
"10/14/2025","Sell","OPEN","OPENDOOR TECHNOLOGIES IN","200","$7.10","$0.03","$1419.97"
"09/17/2025","Buy","IBIT","ISHARES BITCOIN ETF","5","$65.6282","","-$328.14"
"09/16/2025 as of 09/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.01"
"09/15/2025","Buy","OPEN","OPENDOOR TECHNOLOGIES IN","50","$9.435","","-$471.75"
"09/15/2025","Buy","OPEN","OPENDOOR TECHNOLOGIES IN","100","$9.4671","","-$946.71"
"09/15/2025","Sell","IBIT","ISHARES BITCOIN ETF","25","$65.4637","","$1636.59"
